Team,Season,GP,W,L,T,OT,P,P%,SA,Goalie GA,EN GA,GA,Svs,Team Sv%,TOI,GAA,GA/GP,SO
Anaheim Ducks,20252026,26,16,9,--,1,33,0.635,758,79,5,84,674,0.889,1583:59,3.18,3.23,0
Boston Bruins,20252026,27,15,12,--,0,30,0.556,826,81,5,86,740,0.896,1641:40,3.14,3.19,0
Buffalo Sabres,20252026,26,11,11,--,4,26,0.5,782,78,9,87,695,0.889,1578:20,3.31,3.35,1
Calgary Flames,20252026,27,9,14,--,4,22,0.407,769,74,6,80,689,0.896,1643:52,2.92,2.96,1
Carolina Hurricanes,20252026,25,16,7,--,2,34,0.68,612,64,5,69,543,0.887,1524:08,2.72,2.76,2
Chicago Blackhawks,20252026,25,11,9,--,5,27,0.54,758,71,1,72,686,0.905,1517:59,2.85,2.88,1
Colorado Avalanche,20252026,25,18,1,--,6,42,0.84,659,52,0,52,607,0.921,1520:22,2.05,2.08,3
Columbus Blue Jackets,20252026,26,12,9,--,5,29,0.558,803,81,3,84,719,0.895,1595:39,3.16,3.23,0
Dallas Stars,20252026,26,17,5,--,4,38,0.731,712,66,3,69,643,0.903,1586:17,2.61,2.65,2
Detroit Red Wings,20252026,26,13,11,--,2,28,0.538,685,84,4,88,597,0.872,1581:31,3.34,3.38,0
Edmonton Oilers,20252026,26,11,10,--,5,27,0.519,691,87,6,93,598,0.865,1583:56,3.52,3.58,2
Florida Panthers,20252026,24,12,11,--,1,25,0.521,624,67,9,76,548,0.878,1450:00,3.14,3.17,2
Los Angeles Kings,20252026,25,12,6,--,7,31,0.62,651,63,2,65,586,0.9,1541:12,2.53,2.6,2
Minnesota Wild,20252026,26,14,7,--,5,33,0.635,793,65,6,71,722,0.91,1599:57,2.66,2.73,5
Montréal Canadiens,20252026,24,13,8,--,3,29,0.604,661,81,4,85,576,0.871,1463:19,3.49,3.54,0
Nashville Predators,20252026,25,8,13,--,4,20,0.4,685,83,9,92,594,0.867,1522:13,3.63,3.68,0
New Jersey Devils,20252026,26,16,9,--,1,33,0.635,741,76,3,79,663,0.895,1581:09,3,3.04,1
New York Islanders,20252026,26,13,10,--,3,29,0.558,701,69,5,74,627,0.894,1586:25,2.8,2.85,3
New York Rangers,20252026,27,13,12,--,2,28,0.519,772,62,9,71,701,0.908,1633:07,2.61,2.63,2
Ottawa Senators,20252026,25,12,9,--,4,28,0.56,640,80,4,84,556,0.869,1530:21,3.29,3.36,0
Philadelphia Flyers,20252026,25,14,8,--,3,31,0.62,652,69,3,72,580,0.89,1540:49,2.8,2.88,0
Pittsburgh Penguins,20252026,25,13,7,--,5,31,0.62,708,67,1,68,640,0.904,1520:53,2.68,2.72,3
San Jose Sharks,20252026,27,13,11,--,3,29,0.537,857,82,4,86,772,0.901,1644:56,3.14,3.19,0
Seattle Kraken,20252026,24,11,7,--,6,28,0.583,658,61,2,63,595,0.904,1476:00,2.56,2.63,2
St. Louis Blues,20252026,27,9,11,--,7,25,0.463,737,88,5,93,644,0.874,1644:42,3.39,3.44,2
Tampa Bay Lightning,20252026,25,16,7,--,2,34,0.68,688,62,3,65,624,0.907,1509:46,2.58,2.6,1
Toronto Maple Leafs,20252026,25,11,11,--,3,25,0.5,786,84,5,89,698,0.888,1519:14,3.51,3.56,0
Utah Mammoth,20252026,27,12,12,--,3,27,0.5,655,79,4,83,573,0.875,1631:04,3.05,3.07,0
Vancouver Canucks,20252026,26,10,13,--,3,23,0.442,785,88,7,95,690,0.879,1586:16,3.59,3.65,0
Vegas Golden Knights,20252026,25,11,6,--,8,30,0.6,620,69,5,74,546,0.881,1533:09,2.9,2.96,1
Washington Capitals,20252026,26,15,9,--,2,32,0.615,671,63,4,67,604,0.9,1571:19,2.56,2.58,1
Winnipeg Jets,20252026,25,13,12,--,0,26,0.52,731,70,5,75,656,0.897,1505:46,2.99,3,0
Anaheim Ducks,20242025,82,35,37,--,10,80,0.488,"2,648",249,12,261,"2,388",0.902,4989:16,3.14,3.18,1
Boston Bruins,20242025,82,33,39,--,10,76,0.463,"2,346",250,21,271,"2,075",0.884,4973:57,3.27,3.3,7
Buffalo Sabres,20242025,82,36,39,--,7,79,0.482,"2,368",262,25,287,"2,083",0.88,4972:07,3.46,3.5,3
Calgary Flames,20242025,82,41,27,--,14,96,0.585,"2,372",223,13,236,"2,136",0.901,5001:59,2.83,2.88,5
Carolina Hurricanes,20242025,82,47,30,--,5,99,0.604,"2,044",217,13,230,"1,816",0.888,4950:20,2.79,2.8,5
Chicago Blackhawks,20242025,82,25,46,--,11,61,0.372,"2,551",269,23,292,"2,260",0.886,4964:30,3.53,3.56,0
Colorado Avalanche,20242025,82,49,29,--,4,102,0.622,"2,126",210,21,231,"1,895",0.891,4968:08,2.79,2.82,5
Columbus Blue Jackets,20242025,82,40,33,--,9,89,0.543,"2,453",254,13,267,"2,186",0.891,4980:15,3.22,3.26,4
Dallas Stars,20242025,82,50,26,--,6,106,0.646,"2,382",212,10,222,"2,160",0.907,4960:58,2.68,2.71,4
Detroit Red Wings,20242025,82,39,35,--,8,86,0.524,"2,336",241,18,259,"2,078",0.89,4973:57,3.12,3.16,4
Edmonton Oilers,20242025,82,48,29,--,5,101,0.616,"2,211",227,8,235,"1,976",0.894,4958:44,2.84,2.87,4
Florida Panthers,20242025,82,47,31,--,4,98,0.598,"2,148",203,20,223,"1,925",0.896,4973:20,2.69,2.72,8
Los Angeles Kings,20242025,82,48,25,--,9,105,0.64,"2,091",191,12,203,"1,890",0.904,4963:21,2.45,2.48,6
Minnesota Wild,20242025,82,45,30,--,7,97,0.591,"2,428",222,14,236,"2,192",0.903,4976:24,2.85,2.88,6
Montréal Canadiens,20242025,82,40,31,--,11,91,0.555,"2,382",247,14,261,"2,122",0.891,4981:53,3.14,3.18,5
Nashville Predators,20242025,82,30,44,--,8,68,0.415,"2,342",250,24,274,"2,070",0.884,4955:03,3.32,3.34,4
New Jersey Devils,20242025,82,42,33,--,7,91,0.555,"2,161",205,15,220,"1,944",0.9,4963:28,2.66,2.68,9
New York Islanders,20242025,82,35,35,--,12,82,0.5,"2,356",234,23,257,"2,100",0.891,4978:02,3.1,3.13,4
New York Rangers,20242025,82,39,36,--,7,85,0.518,"2,451",239,16,255,"2,196",0.896,4949:47,3.09,3.11,9
Ottawa Senators,20242025,82,45,30,--,7,97,0.591,"2,346",218,14,232,"2,115",0.902,4955:35,2.81,2.83,10
Philadelphia Flyers,20242025,82,33,39,--,10,76,0.463,"2,210",265,18,283,"1,927",0.872,4995:15,3.4,3.45,3
Pittsburgh Penguins,20242025,82,34,36,--,12,80,0.488,"2,471",266,21,287,"2,185",0.884,4982:33,3.46,3.5,3
San Jose Sharks,20242025,82,20,50,--,12,52,0.317,"2,606",292,18,310,"2,297",0.881,4973:15,3.74,3.78,1
Seattle Kraken,20242025,82,35,41,--,6,76,0.463,"2,342",241,21,262,"2,081",0.889,4958:45,3.17,3.2,2
St. Louis Blues,20242025,82,44,30,--,8,96,0.585,"2,236",219,12,231,"2,005",0.897,4981:23,2.78,2.82,4
