Team,Season,GP,GF,G Wrist,G Snap,G Slap,G Back,G Tip,G Dflct,G Wrap,S,S Wrist,S Snap,S Slap,S Back,S Tip,S Dflct,S Wrap,S%,S% Wrist,S% Snap,S% Slap,S% Back,S% Tip,S% Dflct,S% Wrap,W
Anaheim Ducks,20252026,26,94,39,29,8,6,10,2,0,785,368,199,94,43,62,10,3,12,10.6,14.6,8.5,14,16.1,20,--,16
Boston Bruins,20252026,27,81,39,23,5,2,8,1,0,721,328,202,75,38,49,12,11,11.2,11.9,11.4,6.7,5.3,16.3,8.3,--,15
Buffalo Sabres,20252026,26,79,37,13,8,6,10,3,0,748,380,142,79,54,57,17,8,10.6,9.7,9.2,10.1,11.1,17.5,17.6,--,11
Calgary Flames,20252026,27,63,34,13,5,1,6,1,0,789,430,143,84,55,50,12,2,8,7.9,9.1,6,1.8,12,8.3,--,9
Carolina Hurricanes,20252026,25,85,19,37,13,6,6,2,1,831,334,276,88,63,42,14,6,10.2,5.7,13.4,14.8,9.5,14.3,14.3,16.7,16
Chicago Blackhawks,20252026,25,80,36,21,3,5,11,1,0,629,380,90,62,30,43,12,6,12.7,9.5,23.3,4.8,16.7,25.6,8.3,--,11
Colorado Avalanche,20252026,25,103,36,37,6,10,10,1,1,847,453,170,79,58,67,8,2,12.2,7.9,21.8,7.6,17.2,14.9,12.5,50,18
Columbus Blue Jackets,20252026,26,75,27,17,5,9,11,4,0,789,370,206,75,56,54,17,5,9.5,7.3,8.3,6.7,16.1,20.4,23.5,--,12
Dallas Stars,20252026,26,91,30,34,1,11,9,5,0,675,221,286,36,60,51,13,5,13.5,13.6,11.9,2.8,18.3,17.6,38.5,--,17
Detroit Red Wings,20252026,26,75,35,21,0,6,11,2,0,788,371,215,65,59,63,11,1,9.5,9.4,9.8,--,10.2,17.5,18.2,--,13
Edmonton Oilers,20252026,26,81,25,35,8,6,5,2,0,733,313,201,93,68,45,9,0,11.1,8,17.4,8.6,8.8,11.1,22.2,--,11
Florida Panthers,20252026,24,74,31,18,3,11,4,5,2,698,301,197,65,74,43,13,4,10.6,10.3,9.1,4.6,14.9,9.3,38.5,50,12
Los Angeles Kings,20252026,25,67,28,16,7,5,10,1,0,718,365,122,94,52,64,11,4,9.3,7.7,13.1,7.4,9.6,15.6,9.1,--,12
Minnesota Wild,20252026,26,74,34,17,4,3,14,1,0,728,400,137,52,53,60,16,7,10.2,8.5,12.4,7.7,5.7,23.3,6.3,--,14
Montréal Canadiens,20252026,24,82,21,43,6,7,2,1,0,595,152,305,42,46,36,9,1,13.8,13.8,14.1,14.3,15.2,5.6,11.1,--,13
Nashville Predators,20252026,25,63,24,15,6,8,6,4,0,695,349,128,87,49,46,23,9,9.1,6.9,11.7,6.9,16.3,13,17.4,--,8
New Jersey Devils,20252026,26,81,37,17,8,8,9,1,0,767,374,164,77,63,62,13,6,10.6,9.9,10.4,10.4,12.7,14.5,7.7,--,16
New York Islanders,20252026,26,75,21,36,4,4,3,4,0,766,295,262,79,51,44,23,7,9.8,7.1,13.7,5.1,7.8,6.8,17.4,--,13
New York Rangers,20252026,27,71,34,12,7,2,9,6,0,699,339,144,72,43,67,26,0,10.2,10,8.3,9.7,4.7,13.4,23.1,--,13
Ottawa Senators,20252026,25,76,36,14,9,5,8,2,1,651,342,134,60,50,44,9,6,11.7,10.5,10.4,15,10,18.2,22.2,16.7,12
Philadelphia Flyers,20252026,25,69,32,18,5,6,6,1,0,621,302,164,48,51,39,10,2,11.1,10.6,11,10.4,11.8,15.4,10,--,14
Pittsburgh Penguins,20252026,25,79,40,15,4,8,9,2,0,676,382,97,65,60,48,13,6,11.7,10.5,15.5,6.2,13.3,18.8,15.4,--,13
San Jose Sharks,20252026,27,79,41,13,7,7,7,3,0,658,399,68,78,44,44,15,2,12,10.3,19.1,9,15.9,15.9,20,--,13
Seattle Kraken,20252026,24,59,37,7,6,2,2,5,0,585,312,102,73,40,40,16,1,10.1,11.9,6.9,8.2,5,5,31.3,--,11
St. Louis Blues,20252026,27,69,34,16,3,7,5,1,1,682,387,115,65,47,36,14,6,10.1,8.8,13.9,4.6,14.9,13.9,7.1,16.7,9
Tampa Bay Lightning,20252026,25,84,33,19,12,7,10,2,1,663,244,217,85,47,47,14,5,12.7,13.5,8.8,14.1,14.9,21.3,14.3,20,16
Toronto Maple Leafs,20252026,25,85,45,20,3,7,7,1,0,680,367,130,49,53,56,13,6,12.5,12.3,15.4,6.1,13.2,12.5,7.7,--,11
Utah Mammoth,20252026,27,80,24,31,12,6,3,2,0,779,249,288,111,57,38,19,8,10.3,9.6,10.8,10.8,10.5,7.9,10.5,--,12
Vancouver Canucks,20252026,26,77,31,20,4,9,11,0,0,695,340,154,68,57,50,14,5,11.1,9.1,13,5.9,15.8,22,--,--,10
Vegas Golden Knights,20252026,25,76,32,21,4,11,4,2,1,748,361,191,73,54,47,12,3,10.2,8.9,11,5.5,20.4,8.5,16.7,33.3,11
Washington Capitals,20252026,26,88,12,45,8,9,10,2,0,773,201,334,80,57,76,15,6,11.4,6,13.5,10,15.8,13.2,13.3,--,15
Winnipeg Jets,20252026,25,76,33,10,11,10,8,3,0,659,361,79,90,55,49,14,3,11.5,9.1,12.7,12.2,18.2,16.3,21.4,--,13
Anaheim Ducks,20242025,82,217,90,61,13,13,31,5,0,"2,270","1,067",574,224,160,188,26,13,9.6,8.4,10.6,5.8,8.1,16.5,19.2,--,35
Boston Bruins,20242025,82,222,102,57,16,23,16,4,2,"2,174","1,129",434,246,147,138,41,17,10.2,9,13.1,6.5,15.6,11.6,9.8,11.8,33
Buffalo Sabres,20242025,82,265,133,44,24,17,34,4,2,"2,278","1,308",398,213,168,139,21,15,11.6,10.2,11.1,11.3,10.1,24.5,19,13.3,36
Calgary Flames,20242025,82,220,116,40,17,11,26,8,1,"2,414","1,396",340,245,162,194,43,13,9.1,8.3,11.8,6.9,6.8,13.4,18.6,7.7,41
Carolina Hurricanes,20242025,82,266,86,86,29,31,23,3,2,"2,598","1,051",805,306,189,176,32,20,10.2,8.2,10.7,9.5,16.4,13.1,9.4,10,47
Chicago Blackhawks,20242025,82,224,107,56,18,15,18,6,0,"2,005","1,118",339,233,128,107,38,16,11.2,9.6,16.5,7.7,11.7,16.8,15.8,--,25
Colorado Avalanche,20242025,82,273,121,80,22,21,24,2,0,"2,451","1,291",498,243,176,179,30,11,11.1,9.4,16.1,9.1,11.9,13.4,6.7,--,49
